gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
870914148,23.0,11.6.365.1420,EUW1,11,1,1,1,0,1,1,1,50,3,0,2,6,59,51043,43860,15.571428,0,7,0,0,0,3,5,32124,28660,0.24
1245763014,37.0,11.22.406.3587,EUW1,11,2,2,2,2,2,2,1,42,1,0,0,2,78,72193,68330,2.7272727,1,44,5,5,1,11,49,74755,65475,2.2142856
1245727783,32.0,11.22.406.3587,EUW1,11,2,0,1,2,2,2,0,30,3,0,0,2,39,57630,55460,2.15625,0,32,2,1,1,8,37,64740,56245,2.3
1244826053,31.0,11.22.406.3587,EUW1,11,1,1,1,1,1,1,1,33,3,3,1,10,39,63805,60685,3.1304348,0,23,0,0,0,5,34,57000,55943,1.7272727
1243045009,30.0,11.22.406.3587,EUW1,11,1,1,2,1,2,2,2,39,2,1,0,7,74,67610,59425,5.3809524,0,21,2,0,1,5,28,56716,52515,1.2564102
1189600271,37.0,11.19.398.9466,EUW1,11,2,2,2,2,2,2,0,44,1,0,0,0,70,65312,61600,1.9,1,60,4,4,1,11,75,77833,69535,3.0681818
1173213582,36.0,11.18.395.7538,EUW1,11,2,1,1,2,0,1,1,47,1,0,0,7,52,72149,66850,2.152174,1,46,4,1,0,6,56,71278,66125,2.1702127
1162186906,31.0,11.18.395.7538,EUW1,11,2,2,2,2,1,2,0,34,2,0,2,5,38,57914,55055,1.7560976,1,41,3,2,0,9,61,65054,57800,3.0
1162275477,22.0,11.18.395.7538,EUW1,11,1,0,1,1,1,1,0,23,3,1,2,8,29,44706,39510,2.6,0,20,0,0,0,3,21,39637,36040,1.7826087
1209929272,40.0,11.20.400.7328,EUW1,11,1,2,2,1,0,1,0,50,2,3,0,10,53,75097,69225,2.1914895,1,47,4,0,0,5,74,75472,69400,2.42
1208771937,42.0,11.20.400.7328,EUW1,11,2,1,2,2,2,2,2,42,4,0,0,4,73,69441,66225,2.6136363,1,44,2,2,1,9,58,74977,82400,2.4285715
1239332043,27.0,11.21.403.3002,EUW1,11,1,1,1,1,1,2,1,36,3,2,1,9,58,57975,47775,4.4761906,0,21,0,0,0,2,24,46978,46150,1.25
1239317640,17.0,11.21.403.3002,EUW1,11,2,0,2,2,2,2,0,5,0,0,0,0,5,23680,21520,0.45454547,0,22,2,1,2,10,23,40230,33800,9.0
1139247708,36.0,11.17.394.4489,EUW1,11,2,2,1,2,2,2,0,35,2,0,0,5,49,62263,59475,2.4,1,35,2,1,1,7,60,66780,60200,2.7142856
1137574862,35.0,11.17.393.607,EUW1,11,1,1,2,1,2,2,1,38,3,1,0,8,74,62363,58683,6.5882354,0,17,2,0,1,4,16,52448,48775,0.8684211
1245437092,39.0,11.22.406.3587,EUW1,11,2,2,2,2,1,1,0,39,1,0,2,3,48,71771,69435,1.8510638,1,47,5,3,0,11,58,82386,75400,2.6923077
1245189864,18.0,11.22.406.3587,EUW1,11,1,0,1,0,2,1,0,26,2,0,0,2,23,36547,30895,4.4545455,0,11,0,0,1,1,10,31636,29430,0.8076923
944367679,24.0,11.9.372.2066,EUW1,11,1,0,2,0,2,1,0,23,2,0,0,6,47,44452,37195,8.75,0,8,2,0,2,0,10,31484,28520,0.7826087
942859949,31.0,11.9.372.2066,EUW1,11,2,0,2,2,1,2,0,18,0,0,1,1,26,46065,43460,1.1,0,40,5,2,0,10,54,59525,49025,5.2222223
1223389515,33.0,11.21.403.3002,EUW1,11,1,2,1,0,1,1,1,54,4,0,2,7,60,72901,64625,2.590909,1,44,0,0,0,2,65,59968,56895,2.0185184
1218555481,29.0,11.20.400.7328,EUW1,11,2,0,2,2,0,2,0,36,0,0,0,3,41,52100,50668,1.673913,0,46,4,1,0,7,52,62391,54575,2.7222223
1006830324,17.0,11.11.377.6311,EUW1,11,1,0,2,0,1,1,0,19,1,0,1,2,16,31543,24425,5.8333335,0,6,1,0,0,0,8,24914,22000,0.7368421
